"ID","Name","Description","Sort ID","Type","Item Group","Text Type","Icon Type","Icon","Equip Icon","Icon Colour","Add Icon Type","Rarity","Max Count","Palico Max","Enable On Raptor","Sell Price","Buy Price","Fixed","Shikyu","Eatable","Window","Infinite","Heal Raw","Heal","Battle Raw","Battle","Special Raw","Special","For money Raw","For Money","Out Box Raw","Out Box","Non Level Shell Raw","Non Level Shell","Column 30","Column 31","Get Rank 1 Raw","Get Rank 2 Raw","Get Rank 1","Get Rank 2"
18,"Capture Net","A net that can be fired from your
Slinger. Use it to capture small
creatures.",702,"TOOL","INVALID","TYPE_03","ITEM_0062",CellImage,"INVALID","I_WHITE","INVALID",4,1,1,true,0,0,true,false,false,true,true,"00",false,"00",false,"00",false,"00",false,"01",true,"00",false,"00","00000002","00000000","00000000","NONE","NONE"
19,"Pitfall Trap","A trap for catching large monsters.
It is tripped by heavy weight.",73,"EXPENDABLE","INVALID","TYPE_00","ITEM_0018",CellImage,"INVALID","I_MOS","INVALID",3,1,1,false,200,400,false,false,false,true,false,"00",false,"01",true,"00",false,"00",false,"00",false,"00",false,"00","00000002","00000000","00000000","NONE","NONE"
20,"Shock Trap","A trap that immobilizes a target.
Use it to capture monsters.",74,"EXPENDABLE","INVALID","TYPE_00","ITEM_0018",CellImage,"INVALID","I_LEMON","INVALID",3,1,1,false,160,320,false,false,false,true,false,"00",false,"01",true,"00",false,"00",false,"00",false,"00",false,"00","00000002","00000000","00000000","NONE","NONE"
21,"Whetstone","A standard-sized whetstone. Use it
to restore a weapon's sharpness.",1,"TOOL","INVALID","TYPE_03","ITEM_0011",CellImage,"INVALID","I_YELLOW","INVALID",4,1,1,true,0,0,true,false,false,true,true,"00",false,"00",false,"00",false,"00",false,"01",true,"00",false,"00","00000002","00000000","00000000","NONE","NONE"
23,"Binoculars","A tool that magnifies distant
objects and lets you learn more
about them.",702,"TOOL","INVALID","TYPE_03","ITEM_0024",CellImage,"INVALID","I_WHITE","INVALID",4,1,1,false,0,0,true,false,false,true,true,"00",false,"00",false,"00",false,"00",false,"01",true,"00",false,"00","00000002","00000000","00000000","NONE","NONE"
24,"Camping Kit","A kit with all the tools to make
camp. Use to set up and edit Pop-up
Camps in available campsites.",701,"TOOL","INVALID","TYPE_03","ITEM_0060",CellImage,"INVALID","I_WHITE","INVALID",4,1,1,true,0,0,true,false,false,true,true,"00",false,"00",false,"00",false,"00",false,"01",true,"00",false,"00","00000002","00000000","00000000","NONE","NONE"
25,"Portable BBQ Grill","A portable BBQ grill that can be
used for grilling up raw meat and
other ingredients.",701,"TOOL","INVALID","TYPE_03","ITEM_0026",CellImage,"INVALID","I_RED","INVALID",4,1,1,true,0,0,true,false,false,true,true,"00",false,"00",false,"00",false,"00",false,"01",true,"00",false,"00","00000002","00000000","00000000","NONE","NONE"
26,"Herb","A primary ingredient in potions.",36,"EXPENDABLE","INVALID","TYPE_04","ITEM_0008",CellImage,"INVALID","I_GREEN","INVALID",1,10,10,false,2,20,false,false,false,false,false,"00",false,"00",false,"00",false,"00",false,"00",false,"00",false,"00","00000002","00000000","00000000","NONE","NONE"
27,"Antidote Herb","A primary ingredient in
antidotes.",37,"EXPENDABLE","INVALID","TYPE_04","ITEM_0008",CellImage,"INVALID","I_BLUE","INVALID",1,10,10,false,2,20,false,false,false,false,false,"00",false,"00",false,"00",false,"00",false,"00",false,"00",false,"00","00000002","00000000","00000000","NONE","NONE"
28,"Honey","Highly nutritious honey.
Combine with potions to make
the more potent mega potion.",35,"EXPENDABLE","INVALID","TYPE_04","ITEM_0007",CellImage,"INVALID","I_ORANGE","INVALID",2,10,10,false,45,90,false,false,false,false,false,"00",false,"00",false,"00",false,"00",false,"00",false,"00",false,"00","00000002","00000000","00000000","NONE","NONE"
29,"Bitterbug Broth","Bitterbug essence that has
innate healing abilities. Used as
a component in many medicines.",87,"EXPENDABLE","INVALID","TYPE_04","ITEM_0072",CellImage,"INVALID","I_BLUE","INVALID",1,10,10,false,2,20,false,false,false,false,false,"00",false,"00",false,"00",false,"00",false,"00",false,"00",false,"00","00000002","00000000","00000000","NONE","NONE"
30,"Flashbug Phosphor","Luminous essence from an insect
that emits a powerful flash when
it dies. Used to craft flash pods.",88,"EXPENDABLE","INVALID","TYPE_04","ITEM_0072",CellImage,"INVALID","I_YELLOW","INVALID",2,10,10,false,48,96,false,false,false,false,false,"00",false,"00",false,"00",false,"00",false,"00",false,"00",false,"00","00000002","00000000","00000000","NONE","NONE"
31,"Godbug Essence","Essence from an insect said to
live a millennium. Combine it with
other items to add their properties.",89,"EXPENDABLE","INVALID","TYPE_04","ITEM_0072",CellImage,"INVALID","I_WHITE","INVALID",4,10,10,false,120,320,false,false,false,false,false,"00",false,"00",false,"00",false,"00",false,"00",false,"00",false,"00","00000002","00000000","00000000","NONE","NONE"
32,"Thunderbug Capacitor","Substance from an insect that emits
electricity when struck. Required to
craft Shock Traps and Thunder Ammo.",90,"EXPENDABLE","INVALID","TYPE_04","ITEM_0072",CellImage,"INVALID","I_LEMON","INVALID",4,10,10,false,80,300,false,false,false,false,false,"00",false,"00",false,"00",false,"00",false,"00",false,"00",false,"00","00000002","00000000","00000000","NONE","NONE"
33,"Doshaguma Hide","A Doshaguma hide. The numerous
scars on its body are proof of
its beastly, aggressive nature.",1132,"MATERIAL","INVALID","TYPE_05","ITEM_0043",CellImage,"INVALID","I_BROWN","INVALID",4,99,99,false,570,5700,false,false,false,false,false,"00",false,"00",false,"00",false,"00",false,"00",false,"00",false,"00","00000002","00000000","00000000","NONE","NONE"
34,"Doshaguma Fur","Doshaguma fur. It makes a durable
crafting material thanks to its
stiff, bristly texture.",1131,"MATERIAL","INVALID","TYPE_05","ITEM_0043",CellImage,"INVALID","I_BROWN","INVALID",4,99,99,false,380,3800,false,false,false,false,false,"00",false,"00",false,"00",false,"00",false,"00",false,"00",false,"00","00000002","00000000","00000000","NONE","NONE"
35,"Doshaguma Claw","A Doshaguma claw. Sharp as it is
tough, it can cut through muscled
prey without a single chip.",1133,"MATERIAL","INVALID","TYPE_05","ITEM_0044",CellImage,"INVALID","I_BROWN","INVALID",4,99,99,false,684,6840,false,false,false,false,false,"00",false,"00",false,"00",false,"00",false,"00",false,"00",false,"00","00000002","00000000","00000000","NONE","NONE"
36,"Doshaguma Fang","A Doshaguma fang. They grow
large and sharp so they can
pierce their prey with ease.",1134,"MATERIAL","INVALID","TYPE_05","ITEM_0044",CellImage,"INVALID","I_BROWN","INVALID",4,99,99,false,836,8360,false,false,false,false,false,"00",false,"00",false,"00",false,"00",false,"00",false,"00",false,"00","00000002","00000000","00000000","NONE","NONE"
37,"Beast Gem","A valuable jewel formed from
coagulated juices inside a
monster. Glows wildly.",1042,"MATERIAL","INVALID","TYPE_05","ITEM_0019",CellImage,"INVALID","I_ORANGE","INVALID",7,10,99,false,4000,40000,false,false,false,false,false,"00",false,"00",false,"01",true,"00",false,"00",false,"00",false,"00","00000002","00000002","00000002","RARE","RARE"
38,"Normal Ammo","Standard ammo. Fires multiple
shots with each pull of the trigger.
Unlimited capacity.",104,"SHELL","INVALID","TYPE_06","ITEM_0032",CellImage,"INVALID","I_WHITE","INVALID",1,99,99,true,0,0,false,false,false,true,true,"00",false,"00",false,"00",false,"00",false,"01",true,"00",false,"00","00000002","00000000","00000000","NONE","NONE"
39,"Pierce Ammo","Armor-piercing ammo. Depending
on the monster, it can deal multiple
hits. Unlimited capacity.",105,"SHELL","INVALID","TYPE_06","ITEM_0067",CellImage,"INVALID","I_BLUE","INVALID",1,99,99,true,0,0,false,false,false,true,true,"00",false,"00",false,"00",false,"00",false,"01",true,"00",false,"00","00000002","00000000","00000000","NONE","NONE"
40,"Spread Ammo","Ammo made for close combat.
Short range but high power.
Unlimited capacity.",106,"SHELL","INVALID","TYPE_06","ITEM_0066",CellImage,"INVALID","I_MOS","INVALID",1,99,99,true,0,0,false,false,false,true,true,"00",false,"00",false,"00",false,"00",false,"01",true,"00",false,"00","00000002","00000000","00000000","NONE","NONE"
41,"Sticky Ammo","Powerful ammo that lodges
in a target and explodes.
Headshots stun.",107,"SHELL","INVALID","TYPE_06","ITEM_0068",CellImage,"INVALID","I_VERMILION","INVALID",1,9,9,true,2,12,false,false,false,true,false,"00",false,"00",false,"00",false,"00",false,"00",false,"00",false,"00","00000002","00000000","00000000","NONE","NONE"
42,"Cluster Bomb","Ammo that fragments into
multiple shells upon impact.
Beware of friendly fire!",108,"SHELL","INVALID","TYPE_06","ITEM_0069",CellImage,"INVALID","I_ROSE","INVALID",2,3,3,true,6,30,false,false,false,true,false,"00",false,"00",false,"00",false,"00",false,"00",false,"00",false,"00","00000002","00000000","00000000","NONE","NONE"
43,"Flaming Ammo","Ammo that packs a punch
against monsters susceptible
to fire.",109,"SHELL","INVALID","TYPE_06","ITEM_0067",CellImage,"INVALID","I_RED","INVALID",2,60,60,true,2,20,false,false,false,true,false,"00",false,"00",false,"00",false,"00",false,"00",false,"00",false,"00","00000002","00000000","00000000","NONE","NONE"
44,"Water Ammo","Ammo that packs a punch
against monsters susceptible
to water.",110,"SHELL","INVALID","TYPE_06","ITEM_0067",CellImage,"INVALID","I_ULTRAMARINE","INVALID",2,60,60,true,2,20,false,false,false,true,false,"00",false,"00",false,"00",false,"00",false,"00",false,"00",false,"00","00000002","00000000","00000000","NONE","NONE"
45,"Thunder Ammo","Ammo that packs a punch
against monsters susceptible
to thunder.",111,"SHELL","INVALID","TYPE_06","ITEM_0067",CellImage,"INVALID","I_YELLOW","INVALID",2,60,60,true,2,20,false,false,false,true,false,"00",false,"00",false,"00",false,"00",false,"00",false,"00",false,"00","00000002","00000000","00000000","NONE","NONE"
46,"Freeze Ammo","Ammo that packs a punch
against monsters susceptible
to ice.",112,"SHELL","INVALID","TYPE_06","ITEM_0067",CellImage,"INVALID","I_WHITE","INVALID",2,60,60,true,2,20,false,false,false,true,false,"00",false,"00",false,"00",false,"00",false,"00",false,"00",false,"00","00000002","00000000","00000000","NONE","NONE"
47,"Dragon Ammo","Ammo that packs a punch
against monsters weak to
dragon.",113,"SHELL","INVALID","TYPE_06","ITEM_0067",CellImage,"INVALID","I_ROSE","INVALID",3,4,4,true,10,100,false,false,false,true,false,"00",false,"00",false,"00",false,"00",false,"00",false,"01",true,"00","00000002","00000000","00000000","NONE","NONE"
48,"Poison Ammo","Ammo that inflicts poison. Some
targets require multiple shots in
order for the status to take effect.",114,"SHELL","INVALID","TYPE_06","ITEM_0032",CellImage,"INVALID","I_PURPLE","INVALID",2,12,12,true,2,15,false,false,false,true,false,"00",false,"00",false,"00",false,"00",false,"00",false,"00",false,"00","00000002","00000000","00000000","NONE","NONE"
49,"Paralysis Ammo","Ammo that causes paralysis. Some
targets require multiple shots in
order for the status to take effect.",115,"SHELL","INVALID","TYPE_06","ITEM_0032",CellImage,"INVALID","I_LEMON","INVALID",2,12,12,true,3,15,false,false,false,true,false,"00",false,"00",false,"00",false,"00",false,"00",false,"00",false,"00","00000002","00000000","00000000","NONE","NONE"
50,"Sleep Ammo","Ammo that induces sleep. Some
targets require multiple shots in
order for the status to take effect.",116,"SHELL","INVALID","TYPE_06","ITEM_0032",CellImage,"INVALID","I_SKY","INVALID",2,12,12,true,2,15,false,false,false,true,false,"00",false,"00",false,"00",false,"00",false,"00",false,"00",false,"00","00000002","00000000","00000000","NONE","NONE"
51,"Slicing Ammo","Ammo that ejects sharp blades
on impact, which can sever tails.",120,"SHELL","INVALID","TYPE_06","ITEM_0068",CellImage,"INVALID","I_WHITE","INVALID",2,12,12,true,3,12,false,false,false,true,false,"00",false,"00",false,"00",false,"00",false,"00",false,"01",true,"00","00000002","00000000","00000000","NONE","NONE"
52,"Thorngrass Pod","Slinger ammo that lodges into
a target. Attacking where it's
lodged deals extra damage.",728,"EXPENDABLE","INVALID","TYPE_01","ITEM_0061",CellImage,"INVALID","I_ORANGE","INVALID",1,3,3,true,0,0,false,false,false,false,false,"00",false,"00",false,"00",false,"00",false,"01",true,"00",false,"00","00000002","00000000","00000000","NONE","NONE"
53,"Iron Ore","Ore that can be smelted into a
multi-purpose metal.",1001,"MATERIAL","INVALID","TYPE_05","ITEM_0037",CellImage,"INVALID","I_GRAY","INVALID",4,10,10,false,60,600,false,false,false,false,false,"00",false,"00",false,"00",false,"00",false,"00",false,"00",false,"00","00000002","00000001","00000001","NORMAL","NORMAL"
54,"Machalite Ore","Ore mined from mineral veins.
Refined Machalite Steel is far
sturdier than its iron cousin.",1002,"MATERIAL","INVALID","TYPE_05","ITEM_0037",CellImage,"INVALID","I_BLUE","INVALID",4,10,10,false,160,1600,false,false,false,false,false,"00",false,"00",false,"00",false,"00",false,"00",false,"00",false,"00","00000002","00000001","00000001","NORMAL","NORMAL"
55,"Dragonite Ore","Ore sourced from mining outcrops.
A rare material coveted for its
durability in armor crafting.",1003,"MATERIAL","INVALID","TYPE_05","ITEM_0037",CellImage,"INVALID","I_GREEN","INVALID",4,10,10,false,480,4800,false,false,false,false,false,"00",false,"00",false,"00",false,"00",false,"00",false,"00",false,"00","00000002","00000001","00000001","NORMAL","NORMAL"
56,"Carbalite Ore","Ore obtained from mining outcrops.
Still under research, but known to
yield highly pure metal.",1004,"MATERIAL","INVALID","TYPE_05","ITEM_0037",CellImage,"INVALID","I_PURPLE","INVALID",6,10,10,false,680,6800,false,false,false,false,false,"00",false,"00",false,"00",false,"00",false,"00",false,"00",false,"00","00000002","00000001","00000001","NORMAL","NORMAL"
57,"Earth Crystal","Crystallized microbes sourced from
mining outcrops. Coveted as an
abrasive for polishing equipment.",1006,"MATERIAL","INVALID","TYPE_05","ITEM_0037",CellImage,"INVALID","I_WHITE","INVALID",4,99,99,false,80,800,false,false,false,false,false,"00",false,"00",false,"00",false,"00",false,"00",false,"00",false,"00","00000002","00000001","00000001","NORMAL","NORMAL"
58,"Mystery Bone","A weathered bone taken from
a bonepile. Erosion has left it
too fragile to use in crafting.",1015,"MATERIAL","INVALID","TYPE_05","ITEM_0041",CellImage,"INVALID","I_GRAY","INVALID",4,99,99,false,1,10,false,false,false,false,false,"00",false,"00",false,"00",false,"00",false,"00",false,"00",false,"00","00000002","00000001","00000001","NORMAL","NORMAL"
59,"Sturdy Bone","A rigid bone taken from
a bonepile. Durable but
light and easy to handle.",1013,"MATERIAL","INVALID","TYPE_05","ITEM_0041",CellImage,"INVALID","I_WHITE","INVALID",4,99,99,false,500,5000,false,false,false,false,false,"00",false,"00",false,"00",false,"00",false,"00",false,"00",false,"00","00000002","00000001","00000001","NORMAL","NORMAL"
60,"Brute Bone","A sturdy bone from a beast.
Easy to use in crafting.",1026,"MATERIAL","INVALID","TYPE_05","ITEM_0041",CellImage,"INVALID","I_WHITE","INVALID",4,99,99,false,200,2000,false,false,false,false,false,"00",false,"00",false,"00",false,"00",false,"00",false,"00",false,"00","00000002","00000001","00000001","NORMAL","NORMAL"
61,"Colossal Bone","A massive bone from a beast.
Carefully cut out and used
for crafting.",1027,"MATERIAL","INVALID","TYPE_05","ITEM_0041",CellImage,"INVALID","I_WHITE","INVALID",6,99,99,false,425,4250,false,false,false,false,false,"00",false,"00",false,"00",false,"00",false,"00",false,"00",false,"00","00000002","00000001","00000001","NORMAL","NORMAL"
62,"Dragonbone Relic","A high-quality bone taken from a
bonepile. The remains of a dragon
that once roamed these lands.",1019,"MATERIAL","INVALID","TYPE_05","ITEM_0041",CellImage,"INVALID","I_IVORY","INVALID",7,99,99,false,1600,16000,false,false,false,false,false,"00",false,"00",false,"00",false,"00",false,"00",false,"00",false,"00","00000002","00000003","00000003","SUPER_RARE","SUPER_RARE"
66,"Mandragora","A dangerous fungus said to draw
the life out of people. Required to
craft immunizers and max potions.",48,"EXPENDABLE","INVALID","TYPE_04","ITEM_0005",CellImage,"INVALID","I_ORANGE","INVALID",3,10,10,false,40,400,false,false,false,false,false,"00",false,"00",false,"00",false,"00",false,"00",false,"00",false,"00","00000002","00000000","00000000","NONE","NONE"
67,"Blue Mushroom","A mushroom infused with
power-enhancing effects.
Used in restorative items.",47,"EXPENDABLE","INVALID","TYPE_04","ITEM_0005",CellImage,"INVALID","I_BLUE","INVALID",2,10,10,false,2,24,false,false,false,false,false,"00",false,"00",false,"00",false,"00",false,"00",false,"00",false,"00","00000002","00000000","00000000","NONE","NONE"
69,"Burst Pod","Slinger ammo that detonates on
impact. Use it to stagger a monster
when you're in a pinch.",726,"EXPENDABLE","INVALID","TYPE_01","ITEM_0061",CellImage,"INVALID","I_EMERALD","INVALID",1,5,5,true,0,0,false,false,false,false,false,"00",false,"00",false,"00",false,"00",false,"01",true,"00",false,"00","00000002","00000000","00000000","NONE","NONE"
70,"Screamer Pod","Slinger ammo that emits a harsh,
high-frequency sound that can
disrupt sensitive monsters.",78,"EXPENDABLE","INVALID","TYPE_01","ITEM_0061",CellImage,"INVALID","I_GRAY","INVALID",2,3,3,true,45,450,false,false,false,true,false,"00",false,"01",true,"00",false,"00",false,"00",false,"00",false,"00","00000002","00000000","00000000","NONE","NONE"
71,"Bleeding Pod","Slinger ammo that can be used
to inflict massive damage on
monster wounds.",724,"EXPENDABLE","INVALID","TYPE_01","ITEM_0061",CellImage,"INVALID","I_MOS","INVALID",2,3,3,true,0,0,false,false,false,false,false,"00",false,"00",false,"00",false,"00",false,"01",true,"00",false,"00","00000002","00000000","00000000","NONE","NONE"
72,"Dung Pod","Slinger ammo that releases a
strong odor on impact. Causes
certain monsters to flee.",79,"EXPENDABLE","INVALID","TYPE_01","ITEM_0061",CellImage,"INVALID","I_BROWN","INVALID",2,10,10,true,20,120,false,false,false,true,false,"00",false,"01",true,"00",false,"00",false,"00",false,"00",false,"00","00000002","00000000","00000000","NONE","NONE"
73,"Trap Tool","A must-have item for putting
together pitfall traps and
shock traps.",72,"EXPENDABLE","INVALID","TYPE_04","ITEM_0017",CellImage,"INVALID","I_WHITE","INVALID",3,2,2,false,20,200,false,false,false,false,false,"00",false,"00",false,"00",false,"00",false,"00",false,"00",false,"00","00000002","00000000","00000000","NONE","NONE"
74,"Exciteshroom","Has a very strange aroma.
Is it edible? Is it deadly?
Required to make farcasters.",53,"EXPENDABLE","INVALID","TYPE_04","ITEM_0005",CellImage,"INVALID","I_MOS","INVALID",3,10,10,false,18,180,false,false,false,false,false,"00",false,"00",false,"00",false,"00",false,"00",false,"00",false,"00","00000002","00000000","00000000","NONE","NONE"
75,"Smokenut","A nut that produces torrents of
smoke. Combine with other items
to add more effects.",43,"EXPENDABLE","INVALID","TYPE_04","ITEM_0036",CellImage,"INVALID","I_WHITE","INVALID",1,10,10,false,4,44,false,false,false,false,false,"00",false,"00",false,"00",false,"00",false,"00",false,"00",false,"00","00000002","00000000","00000000","NONE","NONE"
76,"Ivy","A lightweight and extremely
strong plant. Used to make
nets for pitfall traps.",42,"EXPENDABLE","INVALID","TYPE_04","ITEM_0008",CellImage,"INVALID","I_MOS","INVALID",1,10,10,false,8,75,false,false,false,false,false,"00",false,"00",false,"00",false,"00",false,"00",false,"00",false,"00","00000002","00000000","00000000","NONE","NONE"
77,"Farcaster","Call for a wingdrake to transport
you to the nearest camp. Can
also be used during combat.",59,"EXPENDABLE","INVALID","TYPE_00","ITEM_0020",CellImage,"INVALID","I_GREEN","INVALID",3,1,1,true,30,150,false,false,false,true,false,"00",false,"01",true,"00",false,"00",false,"00",false,"00",false,"00","00000002","00000000","00000000","NONE","NONE"
80,"Balahara Shell","A Balahara shell. The
fulgurite it has absorbed
enhances its hardness.",1122,"MATERIAL","INVALID","TYPE_05","ITEM_0045",CellImage,"INVALID","I_GRAY","INVALID",4,99,99,false,480,4800,false,false,false,false,false,"00",false,"00",false,"00",false,"00",false,"00",false,"00",false,"00","00000002","00000001","00000001","NORMAL","NORMAL"
81,"Balahara Scale","A Balahara scale. The erosion
caused by constant digging limits
its usefulness in crafting.",1121,"MATERIAL","INVALID","TYPE_05","ITEM_0042",CellImage,"INVALID","I_GRAY","INVALID",4,99,99,false,320,3200,false,false,false,false,false,"00",false,"00",false,"00",false,"00",false,"00",false,"00",false,"00","00000002","00000001","00000001","NORMAL","NORMAL"
82,"Balahara Skull","The skull of a Balahara.
Stronger than most, it's built to
withstand harsh dives into sand.",1123,"MATERIAL","INVALID","TYPE_05","ITEM_0048",CellImage,"INVALID","I_GRAY","INVALID",4,99,99,false,576,5760,false,false,false,false,false,"00",false,"00",false,"00",false,"00",false,"00",false,"00",false,"00","00000002","00000001","00000001","NORMAL","NORMAL"
83,"Balahara Tail","A Balahara tail. Its unique, twisted
shape allows it to propel itself
through earth with great force.",1124,"MATERIAL","INVALID","TYPE_05","ITEM_0046",CellImage,"INVALID","I_GRAY","INVALID",4,99,99,false,640,6400,false,false,false,false,false,"00",false,"00",false,"00",false,"00",false,"00",false,"00",false,"00","00000002","00000001","00000001","NORMAL","NORMAL"
84,"Chatacabra Jaw","The mandible plating of a
Chatacabra. Hard protrusions
stud the thick but supple leather.",1080,"MATERIAL","INVALID","TYPE_05","ITEM_0048",CellImage,"INVALID","I_GREEN","INVALID",4,10,10,false,360,3600,false,false,false,false,false,"00",false,"00",false,"00",false,"00",false,"00",false,"00",false,"00","00000002","00000001","00000001","NORMAL","NORMAL"
85,"Chatacabra Hide","The thick hide of a Chatacabra.
Elastic and easy to mold thanks to
the monster's gluttonous diet.",1079,"MATERIAL","INVALID","TYPE_05","ITEM_0043",CellImage,"INVALID","I_GREEN","INVALID",4,10,10,false,300,3000,false,false,false,false,false,"00",false,"00",false,"00",false,"00",false,"00",false,"00",false,"00","00000002","00000001","00000001","NORMAL","NORMAL"
