"Sort ID","ID","Series","Name","Model ID","Price","Type Sort ID","Type","Rarity","Attack","True Attack","Affinity","Defense Bonus","Element","Element Attack","Sharpness Bar","Sharpness Bar (Handicraft)","Slot 1","Slot 2","Slot 3","Hunting Horn Type","Notes","Melodies","Echo Wave","Echo Bubble","Shelling Type","Shell Level","Switch Axe Phial Type","Switch Axe Phial Value","Charge Blade Phial Type","Kinsect Lv","Skill 1","Skill 1 Level","Skill 2","Skill 2 Level"
10,"LongSword_037","Ore Tree","Buster Sword II",10004,2600,1,"Great Sword",4,768,160,0,0,"-",0,"","",1,0,0,"","","","","","","","","","","","Critical Draw",2,"",""
11,"LongSword_038","Ore Tree","Buster Sword III",10004,10000,1,"Great Sword",6,912,190,0,0,"-",0,"","",2,1,0,"","","","","","","","","","","","Critical Draw",3,"",""
12,"LongSword_039","Ore Tree","Ravager Blade",10006,20000,1,"Great Sword",8,1056,220,0,0,"-",0,"","",3,2,1,"","","","","","","","","","","","Critical Draw",3,"",""
13,"LongSword_044","Jin Dahaad Tree","Jin Dhavaar I",19,14000,1,"Great Sword",7,912,190,0,0,"Ice",550,"","",3,2,0,"","","","","","","","","","","","Focus",2,"",""
14,"LongSword_045","Jin Dahaad Tree","Precipice Metallam",19,20000,1,"Great Sword",8,1008,210,0,0,"Ice",600,"","",3,2,1,"","","","","","","","","","","","Focus",3,"",""
15,"LongSword_023","Quematrice Tree","Quematrice Espada I",6,500,1,"Great Sword",1,480,100,0.05,0,"Fire",140,"","",0,0,0,"","","","","","","","","","","","Punishing Draw",1,"",""
16,"LongSword_024","Quematrice Tree","Quematrice Espada II",6,1500,1,"Great Sword",3,672,140,0.05,0,"Fire",180,"","",0,0,0,"","","","","","","","","","","","Punishing Draw",2,"",""
17,"LongSword_025","Quematrice Tree","Quematrice Espada III",6,4000,1,"Great Sword",5,816,170,0.05,0,"Fire",230,"","",2,1,0,"","","","","","","","","","","","Punishing Draw",2,"",""
18,"LongSword_026","Quematrice Tree","Quematrice Espada IV",6,14000,1,"Great Sword",7,1008,210,0.05,0,"Fire",270,"","",3,2,0,"","","","","","","","","","","","Punishing Draw",3,"",""
19,"LongSword_027","Quematrice Tree","Firetrail Blaisdell",7,20000,1,"Great Sword",8,1152,240,0.05,0,"Fire",300,"","",3,2,1,"","","","","","","","","","","","Punishing Draw",3,"",""
20,"LongSword_144","Paralysis Tree","Paretic Blade I",23,500,1,"Great Sword",1,432,90,0,0,"Paralysis",250,"","",0,0,0,"","","","","","","","","","","","Speed Sharpening",1,"",""
21,"LongSword_145","Paralysis Tree","Paretic Blade II",23,1500,1,"Great Sword",3,576,120,0,0,"Paralysis",310,"","",0,0,0,"","","","","","","","","","","","Speed Sharpening",2,"",""
22,"LongSword_146","Paralysis Tree","Paretic Blade III",23,4000,1,"Great Sword",5,720,150,0,0,"Paralysis",410,"","",2,1,1,"","","","","","","","","","","","Speed Sharpening",2,"",""
23,"LongSword_147","Paralysis Tree","Paretic Blade IV",23,14000,1,"Great Sword",7,864,180,0,0,"Paralysis",470,"","",3,2,1,"","","","","","","","","","","","Speed Sharpening",2,"",""
24,"LongSword_148","Paralysis Tree","Destructive Torpor",23,20000,1,"Great Sword",8,960,200,0,0,"Paralysis",500,"","",3,3,1,"","","","","","","","","","","","Speed Sharpening",2,"",""
25,"LongSword_077","Bone Tree","Bone Blade I",10002,500,1,"Great Sword",1,528,110,0,0,"-",0,"","",0,0,0,"","","","","","","","","","","","Focus",1,"",""
26,"LongSword_078","Bone Tree","Bone Blade II",10002,800,1,"Great Sword",2,624,130,0,0,"-",0,"","",0,0,0,"","","","","","","","","","","","Focus",1,"Attack Boost",1
27,"LongSword_079","Bone Tree","Bone Blade III",10002,2600,1,"Great Sword",4,816,170,0,0,"-",0,"","",1,0,0,"","","","","","","","","","","","Focus",2,"Attack Boost",1
28,"LongSword_080","Bone Tree","Bone Blade IV",10002,10000,1,"Great Sword",6,960,200,0,0,"-",0,"","",2,1,0,"","","","","","","","","","","","Focus",3,"Attack Boost",1
29,"LongSword_081","Bone Tree","Bone Slasher",10002,20000,1,"Great Sword",8,1104,230,0,0,"-",0,"","",3,2,1,"","","","","","","","","","","","Focus",3,"Attack Boost",1
30,"LongSword_085","Nu Udra Tree","Nu Krake I",11,2600,1,"Great Sword",4,816,170,-0.15,0,"Fire",270,"","",1,0,0,"","","","","","","","","","","","Protective Polish",2,"Speed Sharpening",1
31,"LongSword_086","Nu Udra Tree","Nu Krake II",11,14000,1,"Great Sword",7,1008,210,-0.15,0,"Fire",370,"","",3,2,0,"","","","","","","","","","","","Protective Polish",2,"Speed Sharpening",2
32,"LongSword_087","Nu Udra Tree","Abaddonian Krake",11,20000,1,"Great Sword",8,1104,230,-0.15,0,"Fire",400,"","",3,2,1,"","","","","","","","","","","","Protective Polish",3,"Speed Sharpening",2
33,"LongSword_064","Nerscylla Tree","Immane Blade I",10,1500,1,"Great Sword",3,576,120,0.1,0,"Sleep",210,"","",0,0,0,"","","","","","","","","","","","Offensive Guard",1,"Guard",1
34,"LongSword_065","Nerscylla Tree","Immane Blade II",10,5000,1,"Great Sword",5,720,150,0.15,0,"Sleep",310,"","",2,1,0,"","","","","","","","","","","","Offensive Guard",1,"Guard",1
35,"LongSword_066","Nerscylla Tree","Immane Blade III",10,14000,1,"Great Sword",7,864,180,0.15,0,"Sleep",370,"","",3,2,0,"","","","","","","","","","","","Offensive Guard",2,"Guard",1
36,"LongSword_067","Nerscylla Tree","Immolator Blade",10,20000,1,"Great Sword",8,960,200,0.15,0,"Sleep",400,"","",3,2,1,"","","","","","","","","","","","Offensive Guard",2,"Guard",1
37,"LongSword_018","Xu Wu Tree","Nihil Great Sword I",20,2600,1,"Great Sword",4,768,160,0,0,"Water",200,"","",1,0,0,"","","","","","","","","","","","Critical Draw",2,"",""
38,"LongSword_019","Xu Wu Tree","Nihil Great Sword II",20,10000,1,"Great Sword",6,912,190,0,0,"Water",260,"","",2,1,1,"","","","","","","","","","","","Critical Draw",2,"",""
39,"LongSword_020","Xu Wu Tree","Prinvrilo's Dissolution",20,20000,1,"Great Sword",8,1056,220,0,0,"Water",300,"","",3,2,1,"","","","","","","","","","","","Critical Draw",3,"",""
40,"LongSword_098","Doshaguma Tree","Dosha Fellslayer I",1,800,1,"Great Sword",2,672,140,-0.1,20,"-",0,"","",0,0,0,"","","","","","","","","","","","Punishing Draw",1,"",""
41,"LongSword_099","Doshaguma Tree","Dosha Fellslayer II",1,2600,1,"Great Sword",4,864,180,-0.1,20,"-",0,"","",1,0,0,"","","","","","","","","","","","Punishing Draw",2,"",""
42,"LongSword_100","Doshaguma Tree","Dosha Fellslayer III",1,10000,1,"Great Sword",6,1008,210,-0.1,20,"-",0,"","",2,1,0,"","","","","","","","","","","","Punishing Draw",3,"",""
43,"LongSword_159","Doshaguma Tree","Fellslayer Dangeom",3,20000,1,"Great Sword",8,1152,240,-0.1,20,"-",0,"","",3,2,1,"","","","","","","","","","","","Punishing Draw",3,"",""
44,"LongSword_120","G. Arkveld Tree","G. Veldian Gladius I",17,2600,1,"Great Sword",4,816,170,-0.1,0,"Dragon",200,"","",1,1,0,"","","","","","","","","","","","Focus",2,"",""
45,"LongSword_121","G. Arkveld Tree","G. Veldian Gladius II",17,10000,1,"Great Sword",6,1008,210,-0.1,0,"Dragon",260,"","",2,2,0,"","","","","","","","","","","","Focus",2,"",""
46,"LongSword_122","G. Arkveld Tree","G. Stalwart Lamorak",17,20000,1,"Great Sword",8,1152,240,-0.1,0,"Dragon",300,"","",3,3,1,"","","","","","","","","","","","Focus",2,"",""
47,"LongSword_128","Arkveld Tree","Veldian Gladius I",24,14000,1,"Great Sword",7,960,200,0,0,"Dragon",470,"","",3,2,0,"","","","","","","","","","","","Focus",3,"",""
48,"LongSword_160","Arkveld Tree","Stalwart Lamorak",24,20000,1,"Great Sword",8,1056,220,0,0,"Dragon",500,"","",3,2,1,"","","","","","","","","","","","Focus",3,"",""
49,"LongSword_107","G. Doshaguma Tree","Dosha Grimslayer I",100001,2600,1,"Great Sword",4,864,180,-0.2,0,"-",0,"","",1,1,0,"","","","","","","","","","","","Focus",1,"",""
50,"LongSword_108","G. Doshaguma Tree","Dosha Grimslayer II",100001,10000,1,"Great Sword",6,1056,220,-0.2,0,"-",0,"","",2,1,1,"","","","","","","","","","","","Focus",2,"",""
51,"LongSword_109","G. Doshaguma Tree","Grimslayer Urgeom",100001,20000,1,"Great Sword",8,1200,250,-0.2,0,"-",0,"","",3,3,1,"","","","","","","","","","","","Focus",2,"",""
52,"LongSword_013","Yian Kut-Ku Tree","Chicken Decapitator I",12,4000,1,"Great Sword",5,864,180,0,0,"Fire",450,"","",2,1,0,"","","","","","","","","","","","Focus",1,"Charge Master",1
53,"LongSword_014","Yian Kut-Ku Tree","Chicken Decapitator II",12,14000,1,"Great Sword",7,1008,210,0,0,"Fire",550,"","",2,1,0,"","","","","","","","","","","","Focus",2,"Charge Master",2
54,"LongSword_015","Yian Kut-Ku Tree","Rooster Decapitator",12,20000,1,"Great Sword",8,1056,220,0,0,"Fire",600,"","",3,2,1,"","","","","","","","","","","","Focus",2,"Charge Master",2
55,"LongSword_115","G. Fulgur Tree","Smiting Fulgur I",100002,10000,1,"Great Sword",6,864,180,0.15,0,"Thunder",440,"","",2,1,0,"","","","","","","","","","","","Critical Element",2,"",""
56,"LongSword_116","G. Fulgur Tree","Fulgurcleaver Guardiana",100002,20000,1,"Great Sword",8,1008,210,0.15,0,"Thunder",500,"","",3,2,1,"","","","","","","","","","","","Critical Element",3,"",""
57,"LongSword_093","Gypceros Tree","Slaughter I",13,4000,1,"Great Sword",5,864,180,0,0,"Poison",410,"","",2,1,0,"","","","","","","","","","","","Critical Draw",1,"Punishing Draw",1
58,"LongSword_094","Gypceros Tree","Slaughter II",13,10000,1,"Great Sword",6,960,200,0,0,"Poison",440,"","",2,1,0,"","","","","","","","","","","","Critical Draw",2,"Punishing Draw",1
59,"LongSword_095","Gypceros Tree","Poison King",13,20000,1,"Great Sword",8,1104,230,0,0,"Poison",500,"","",3,2,1,"","","","","","","","","","","","Critical Draw",2,"Punishing Draw",2
60,"LongSword_008","Rathian Tree","Valkyrie Blade I",5,5000,1,"Great Sword",5,768,160,0.15,0,"Poison",210,"","",2,1,0,"","","","","","","","","","","","Critical Status",2,"Poison Duration Up",1
61,"LongSword_009","Rathian Tree","Valkyrie Blade II",5,14000,1,"Great Sword",7,912,190,0.15,0,"Poison",270,"","",3,2,0,"","","","","","","","","","","","Critical Status",3,"Poison Duration Up",1
62,"LongSword_010","Rathian Tree","Sieglinde",5,20000,1,"Great Sword",8,1008,210,0.15,0,"Poison",300,"","",3,2,1,"","","","","","","","","","","","Critical Status",3,"Poison Duration Up",1
63,"LongSword_059","Rathalos Tree","Red Wing I",8,10000,1,"Great Sword",6,864,180,0.1,0,"Fire",440,"","",2,1,0,"","","","","","","","","","","","Critical Boost",3,"",""
64,"LongSword_060","Rathalos Tree","Rathalos Firesword",8,20000,1,"Great Sword",8,960,200,0.1,0,"Fire",500,"","",3,2,1,"","","","","","","","","","","","Critical Boost",3,"",""
65,"LongSword_072","Gore Magala Tree","Schattenstolz I",9,14000,1,"Great Sword",7,864,180,0.2,0,"Dragon",370,"","",3,2,1,"","","","","","","","","","","","Critical Element",2,"",""
66,"LongSword_073","Gore Magala Tree","Düsterstolz",9,20000,1,"Great Sword",8,1008,210,0.2,0,"Dragon",400,"","",3,2,1,"","","","","","","","","","","","Critical Element",3,"",""
67,"LongSword_141","Speartuna Tree","Frozen Speartuna I",27,2600,1,"Great Sword",4,720,150,0,0,"Ice",500,"","",0,0,0,"","","","","","","","","","","","Punishing Draw",3,"",""
68,"LongSword_142","Speartuna Tree","Frozen Speartuna II",27,10000,1,"Great Sword",6,864,180,0,0,"Ice",600,"","",2,0,0,"","","","","","","","","","","","Punishing Draw",3,"Slugger",1
69,"LongSword_143","Speartuna Tree","Freezer Speartuna",27,20000,1,"Great Sword",8,1056,220,0,0,"Ice",700,"","",3,2,0,"","","","","","","","","","","","Punishing Draw",3,"Slugger",2
70,"LongSword_164","Workshop Tree","Jawblade I",0,10000,1,"Great Sword",6,960,200,0,0,"-",0,"","",2,1,0,"","","","","","","","","","","","Focus",2,"Protective Polish",2
71,"LongSword_165","Workshop Tree","Giant Jawblade",0,20000,1,"Great Sword",8,1152,240,0,0,"-",0,"","",3,2,1,"","","","","","","","","","","","Focus",2,"Protective Polish",2
100,"LongSword_149","","Artian Blade I",100003,40,1,"Great Sword",6,816,170,0.05,0,"-",300,"","",2,2,2,"","","","","","","","","","","","","","",""
101,"LongSword_150","","Artian Blade II",100003,100,1,"Great Sword",7,864,180,0.05,0,"-",300,"","",2,2,2,"","","","","","","","","","","","","","",""
102,"LongSword_151","","Varianza",100003,200,1,"Great Sword",8,912,190,0.05,0,"-",450,"","",3,3,3,"","","","","","","","","","","","","","",""
0,"ShortSword_000","Expedition Tree","Hope Sword I",7,200,2,"Sword & Shield",1,126,90,0,0,"-",0,"","",0,0,0,"","","","","","","","","","","","","","",""
1,"ShortSword_001","Expedition Tree","Hope Sword II",7,500,2,"Sword & Shield",1,140,100,0,0,"-",0,"","",0,0,0,"","","","","","","","","","","","Speed Sharpening",1,"",""
2,"ShortSword_002","Expedition Tree","Hope Sword III",7,1500,2,"Sword & Shield",3,182,130,0,0,"-",0,"","",0,0,0,"","","","","","","","","","","","Speed Sharpening",1,"Critical Eye",1
3,"ShortSword_003","Expedition Tree","Hope Sword IV",7,4000,2,"Sword & Shield",5,224,160,0,0,"-",0,"","",2,1,0,"","","","","","","","","","","","Speed Sharpening",2,"Critical Eye",1
4,"ShortSword_004","Expedition Tree","Hope Sword V",7,14000,2,"Sword & Shield",7,266,190,0,0,"-",0,"","",3,2,0,"","","","","","","","","","","","Speed Sharpening",2,"Critical Eye",1
5,"ShortSword_177","Expedition Tree","Esperanza Sword",7,20000,2,"Sword & Shield",8,294,210,0,0,"-",0,"","",3,2,1,"","","","","","","","","","","","Speed Sharpening",2,"Critical Eye",2
6,"ShortSword_063","G. Rathalos Tree","Albirath Edge I",100000,2600,2,"Sword & Shield",4,224,160,0.15,0,"Fire",120,"","",1,0,0,"","","","","","","","","","","","Master's Touch",1,"Critical Element",1
7,"ShortSword_064","G. Rathalos Tree","Albirath Edge II",100000,10000,2,"Sword & Shield",6,252,180,0.15,0,"Fire",170,"","",2,1,0,"","","","","","","","","","","","Master's Touch",1,"Critical Element",1
8,"ShortSword_065","G. Rathalos Tree","Melting Point",100000,20000,2,"Sword & Shield",8,294,210,0.15,0,"Fire",200,"","",3,2,1,"","","","","","","","","","","","Master's Touch",1,"Critical Element",1
9,"ShortSword_047","Ore Tree","Iron Beater I",10002,800,2,"Sword & Shield",2,168,120,0,0,"-",0,"","",0,0,0,"","","","","","","","","","","","Guard",1,"",""
10,"ShortSword_048","Ore Tree","Iron Beater II",10002,2600,2,"Sword & Shield",4,224,160,0,0,"-",0,"","",1,0,0,"","","","","","","","","","","","Guard",2,"",""
11,"ShortSword_049","Ore Tree","Iron Beater III",10002,10000,2,"Sword & Shield",6,266,190,0,0,"-",0,"","",2,1,0,"","","","","","","","","","","","Guard",3,"",""
12,"ShortSword_050","Ore Tree","Smithy's Pride",10002,20000,2,"Sword & Shield",8,308,220,0,0,"-",0,"","",3,2,1,"","","","","","","","","","","","Guard",3,"",""
13,"ShortSword_055","Jin Dahaad Tree","Jin Dhaklab I",23,14000,2,"Sword & Shield",7,266,190,0,0,"Ice",320,"","",3,2,0,"","","","","","","","","","","","Guard",3,"",""
14,"ShortSword_056","Jin Dahaad Tree","Precipice Mateptro",23,20000,2,"Sword & Shield",8,294,210,0,0,"Ice",350,"","",3,2,1,"","","","","","","","","","","","Guard",3,"",""
15,"ShortSword_089","Balahara Tree","Balahara Blade I",8,800,2,"Sword & Shield",2,154,110,0.1,0,"Water",100,"","",0,0,0,"","","","","","","","","","","","Offensive Guard",1,"",""
16,"ShortSword_090","Balahara Tree","Balahara Blade II",8,2600,2,"Sword & Shield",4,210,150,0.1,0,"Water",120,"","",1,0,0,"","","","","","","","","","","","Offensive Guard",2,"",""
17,"ShortSword_091","Balahara Tree","Balahara Blade III",8,5000,2,"Sword & Shield",5,224,160,0.1,0,"Water",150,"","",2,1,0,"","","","","","","","","","","","Offensive Guard",2,"",""
18,"ShortSword_092","Balahara Tree","Balahara Blade IV",8,14000,2,"Sword & Shield",7,266,190,0.1,0,"Water",170,"","",3,2,0,"","","","","","","","","","","","Offensive Guard",3,"",""
19,"ShortSword_093","Balahara Tree","Sandsea Katduva",9,20000,2,"Sword & Shield",8,294,210,0.1,0,"Water",200,"","",3,2,1,"","","","","","","","","","","","Offensive Guard",3,"",""
20,"ShortSword_008","Rey Dau Tree","Rey Kuara I",10,2000,2,"Sword & Shield",3,196,140,0,0,"Thunder",120,"","",0,0,0,"","","","","","","","","","","","Guard",1,"Offensive Guard",1
21,"ShortSword_009","Rey Dau Tree","Rey Kuara II",10,4000,2,"Sword & Shield",5,238,170,0,0,"Thunder",150,"","",2,1,0,"","","","","","","","","","","","Guard",1,"Offensive Guard",1
22,"ShortSword_010","Rey Dau Tree","Rey Kuara III",10,14000,2,"Sword & Shield",7,280,200,0,0,"Thunder",170,"","",3,2,0,"","","","","","","","","","","","Guard",2,"Offensive Guard",1
23,"ShortSword_011","Rey Dau Tree","Kuara Clairsword",10,20000,2,"Sword & Shield",8,308,220,0,0,"Thunder",200,"","",3,2,1,"","","","","","","","","","","","Guard",2,"Offensive Guard",1
24,"ShortSword_034","Quematrice Tree","Quematrice Cuchillo I",2,500,2,"Sword & Shield",1,140,100,0.05,0,"Fire",100,"","",0,0,0,"","","","","","","","","","","","Offensive Guard",1,"",""
25,"ShortSword_035","Quematrice Tree","Quematrice Cuchillo II",2,1500,2,"Sword & Shield",3,196,140,0.05,0,"Fire",120,"","",0,0,0,"","","","","","","","","","","","Offensive Guard",2,"",""
26,"ShortSword_036","Quematrice Tree","Quematrice Cuchillo III",2,4000,2,"Sword & Shield",5,238,170,0.05,0,"Fire",140,"","",2,1,0,"","","","","","","","","","","","Offensive Guard",2,"",""
27,"ShortSword_037","Quematrice Tree","Quematrice Cuchillo IV",2,14000,2,"Sword & Shield",7,294,210,0.05,0,"Fire",160,"","",3,2,0,"","","","","","","","","","","","Offensive Guard",3,"",""
28,"ShortSword_038","Quematrice Tree","Firetrail Fornax",3,20000,2,"Sword & Shield",8,336,240,0.05,0,"Fire",180,"","",3,2,1,"","","","","","","","","","","","Offensive Guard",3,"",""
29,"ShortSword_128","Chatacabra Tree","Chata Club I",4,500,2,"Sword & Shield",1,154,110,0,15,"-",0,"","",0,0,0,"","","","","","","","","","","","Guard",1,"",""
30,"ShortSword_129","Chatacabra Tree","Chata Club II",4,1500,2,"Sword & Shield",3,210,150,0,15,"-",0,"","",0,0,0,"","","","","","","","","","","","Guard",2,"",""
31,"ShortSword_130","Chatacabra Tree","Chata Club III",4,4000,2,"Sword & Shield",5,252,180,0,15,"-",0,"","",2,1,0,"","","","","","","","","","","","Guard",2,"",""
32,"ShortSword_131","Chatacabra Tree","Chata Club IV",4,14000,2,"Sword & Shield",7,294,210,0,15,"-",0,"","",3,2,0,"","","","","","","","","","","","Guard",2,"Guard Up",1
33,"ShortSword_178","Chatacabra Tree","Shrouded Katalo",5,20000,2,"Sword & Shield",8,322,230,0,15,"-",0,"","",3,2,1,"","","","","","","","","","","","Guard",3,"Guard Up",1
34,"ShortSword_144","G. Arkveld Tree","G. Veldian Mucro I",22,2600,2,"Sword & Shield",4,238,170,-0.1,0,"Dragon",120,"","",1,1,0,"","","","","","","","","","","","Guard",2,"",""
35,"ShortSword_145","G. Arkveld Tree","G. Veldian Mucro II",22,10000,2,"Sword & Shield",6,294,210,-0.1,0,"Dragon",150,"","",2,2,0,"","","","","","","","","","","","Guard",2,"",""
36,"ShortSword_146","G. Arkveld Tree","G. Guiding Artorius",22,20000,2,"Sword & Shield",8,336,240,-0.1,0,"Dragon",180,"","",3,3,1,"","","","","","","","","","","","Guard",2,"",""
37,"ShortSword_152","Arkveld Tree","Veldian Mucro I",28,14000,2,"Sword & Shield",7,280,200,0,0,"Dragon",220,"","",3,2,0,"","","","","","","","","","","","Guard",3,"",""
38,"ShortSword_179","Arkveld Tree","Guiding Artorius",28,20000,2,"Sword & Shield",8,308,220,0,0,"Dragon",250,"","",3,2,1,"","","","","","","","","","","","Guard",3,"",""
39,"ShortSword_097","Bone Tree","Bone Kukri I",10001,500,2,"Sword & Shield",1,154,110,0,0,"-",0,"","",0,0,0,"","","","","","","","","","","","Stamina Thief",1,"",""
40,"ShortSword_098","Bone Tree","Bone Kukri II",10001,800,2,"Sword & Shield",2,182,130,0,0,"-",0,"","",0,0,0,"","","","","","","","","","","","Stamina Thief",1,"Attack Boost",1
41,"ShortSword_099","Bone Tree","Bone Kukri III",10001,2600,2,"Sword & Shield",4,238,170,0,0,"-",0,"","",1,0,0,"","","","","","","","","","","","Stamina Thief",2,"Attack Boost",1
42,"ShortSword_100","Bone Tree","Bone Kukri IV",10001,10000,2,"Sword & Shield",6,280,200,0,0,"-",0,"","",2,1,0,"","","","","","","","","","","","Stamina Thief",3,"Attack Boost",1
43,"ShortSword_101","Bone Tree","Chief Kukri",10001,20000,2,"Sword & Shield",8,322,230,0,0,"-",0,"","",3,2,1,"","","","","","","","","","","","Stamina Thief",3,"Attack Boost",1
44,"ShortSword_115","Ajarakan Tree","Ajara Saber I",15,1500,2,"Sword & Shield",3,182,130,0.1,0,"Blast",120,"","",0,0,0,"","","","","","","","","","","","Offensive Guard",2,"",""
45,"ShortSword_116","Ajarakan Tree","Ajara Saber II",15,10000,2,"Sword & Shield",6,252,180,0.1,0,"Blast",150,"","",2,1,0,"","","","","","","","","","","","Offensive Guard",3,"",""
46,"ShortSword_117","Ajarakan Tree","Ajara-Subinda",15,20000,2,"Sword & Shield",8,294,210,0.1,0,"Blast",180,"","",3,2,1,"","","","","","","","","","","","Offensive Guard",3,"",""
47,"ShortSword_026","Lala Barina Tree","Barina Dague I",27,500,2,"Sword & Shield",1,140,100,0.1,0,"Paralysis",100,"","",0,0,0,"","","","","","","","","","","","Critical Draw",1,"",""
48,"ShortSword_027","Lala Barina Tree","Barina Dague II",27,1500,2,"Sword & Shield",3,168,120,0.1,0,"Paralysis",120,"","",0,0,0,"","","","","","","","","","","","Critical Draw",1,"Critical Status",1
49,"ShortSword_028","Lala Barina Tree","Barina Dague III",27,4000,2,"Sword & Shield",5,210,150,0.15,0,"Paralysis",150,"","",2,1,0,"","","","","","","","","","","","Critical Draw",1,"Critical Status",1
50,"ShortSword_029","Lala Barina Tree","Barina Dague IV",27,14000,2,"Sword & Shield",7,252,180,0.15,0,"Paralysis",170,"","",3,2,0,"","","","","","","","","","","","Critical Draw",2,"Critical Status",1
51,"ShortSword_030","Lala Barina Tree","Lala Acanthopelm",33,20000,2,"Sword & Shield",8,280,200,0.15,0,"Paralysis",200,"","",3,2,1,"","","","","","","","","","","","Critical Draw",2,"Critical Status",1
52,"ShortSword_081","Nerscylla Tree","Scaly Sword I",14,1500,2,"Sword & Shield",3,168,120,0.1,0,"Sleep",120,"","",0,0,0,"","","","","","","","","","","","Guard",2,"",""
53,"ShortSword_082","Nerscylla Tree","Scaly Sword II",14,5000,2,"Sword & Shield",5,210,150,0.15,0,"Sleep",150,"","",2,1,0,"","","","","","","","","","","","Guard",2,"",""
54,"ShortSword_083","Nerscylla Tree","Scaly Sword III",14,14000,2,"Sword & Shield",7,252,180,0.15,0,"Sleep",170,"","",3,2,0,"","","","","","","","","","","","Guard",3,"",""
55,"ShortSword_084","Nerscylla Tree","Nerskiller",14,20000,2,"Sword & Shield",8,280,200,0.15,0,"Sleep",200,"","",3,2,1,"","","","","","","","","","","","Guard",3,"",""
56,"ShortSword_136","Xu Wu Tree","Nihil Sword I",24,2600,2,"Sword & Shield",4,224,160,0,0,"Water",120,"","",1,0,0,"","","","","","","","","","","","Guard",2,"",""
57,"ShortSword_137","Xu Wu Tree","Nihil Sword II",24,10000,2,"Sword & Shield",6,266,190,0,0,"Water",150,"","",2,1,0,"","","","","","","","","","","","Guard",3,"",""
58,"ShortSword_138","Xu Wu Tree","Cordayle's Revocation",24,20000,2,"Sword & Shield",8,308,220,0,0,"Water",180,"","",3,2,1,"","","","","","","","","","","","Guard",3,"",""
59,"ShortSword_110","Gypceros Tree","Venom's Pain I",16,4000,2,"Sword & Shield",5,252,180,0,0,"Poison",160,"","",2,1,0,"","","","","","","","","","","","Punishing Draw",2,"Critical Draw",1
60,"ShortSword_111","Gypceros Tree","Venom's Pain II",16,10000,2,"Sword & Shield",6,280,200,0,0,"Poison",190,"","",2,1,0,"","","","","","","","","","","","Punishing Draw",2,"Critical Draw",2
61,"ShortSword_112","Gypceros Tree","Viperine Saber",16,20000,2,"Sword & Shield",8,322,230,0,0,"Poison",250,"","",3,3,1,"","","","","","","","","","","","Punishing Draw",3,"Critical Draw",2
62,"ShortSword_105","G. Fulgur Tree","Rending Fulgur I",100002,10000,2,"Sword & Shield",6,252,180,0.15,0,"Thunder",210,"","",2,1,0,"","","","","","","","","","","","Critical Element",3,"",""
